Customer_Id,Name,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Label,Results
157.240.2.20-10.42.0.42-443-49574-6,Aaron Maashoh,23,Scientist,19114.12,1824.8433329999998,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",3,7,11.27,4.0,_,809.98,26.82261962,22 Years and 1 Months,No,49.57494921,80.41529544,High_spent_Small_value_payments,312.4940887,0,0
172.217.11.35-10.42.0.151-443-50521-6,Aaron Maashoh,23,Scientist,19114.12,,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",-1,,11.27,4.0,Good,809.98,31.94496006,,No,49.57494921,118.2802216,Low_spent_Large_value_payments,284.6291625,0,0
172.217.11.8-10.42.0.211-443-52242-6,Aaron Maashoh,32,Scientist,19114.12,,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",3,7,_,4.0,Good,809.98,28.60935202,22 Years and 3 Months,No,49.57494921,81.69952126,Low_spent_Medium_value_payments,331.20986289999996,1,1
10.42.0.211-64.71.142.120-53882-443-6,Aaron Maashoh,23,Scientist,19114.12,,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",5,4,6.27,4.0,Good,809.98,31.37786187,22 Years and 4 Months,No,49.57494921,199.4580744,Low_spent_Small_value_payments,223.4513097,1,1
10.42.0.151-121.12.98.63-45052-80-6,Aaron Maashoh,23,Scientist,19114.12,1824.8433329999998,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",6,,11.27,4.0,Good,809.98,24.79734691,22 Years and 5 Months,No,49.57494921,41.42015309,High_spent_Medium_value_payments,341.489231,0,0
10.42.0.211-106.39.162.36-39575-80-6,Aaron Maashoh,23,Scientist,19114.12,,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",8,4,9.27,4.0,Good,809.98,27.26225871,22 Years and 6 Months,No,49.57494921,62.43017233,!@9#%8,340.47921180000003,0,0
140.205.164.47-10.42.0.151-443-40833-6,Aaron Maashoh,23,Scientist,19114.12,1824.8433329999998,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",3,8_,11.27,4.0,Good,809.98,22.53759303,22 Years and 7 Months,No,49.57494921,178.3440674,Low_spent_Small_value_payments,244.56531669999998,0,0
10.42.0.211-121.14.255.83-36022-80-6,,23,Scientist,19114.12,1824.8433329999998,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",3,6,11.27,4.0,Good,809.98,23.9337948,,No,49.57494921,24.78521651,High_spent_Medium_value_payments,358.1241676,0,0
172.217.11.36-10.42.0.211-443-50080-6,Rick Rothackerj,23,_______,34847.84,3037.986667,2,4,6,1,Credit-Builder Loan,3,4,5.42,2.0,Good,605.03,24.46403064,26 Years and 7 Months,No,18.81621457,104.2918252,Low_spent_Small_value_payments,470.6906268999999,1,1
173.194.207.102-10.42.0.42-443-48288-6,Rick Rothackerj,28,Teacher,34847.84,3037.986667,2,4,6,1,Credit-Builder Loan,7,1,7.42,2.0,Good,605.03,38.55084843,26 Years and 8 Months,No,18.81621457,40.39123783,High_spent_Large_value_payments,484.5912143,0,0
10.42.0.151-10.42.0.1-1787-53-17,Rick Rothackerj,28,Teacher,34847.84_,3037.986667,2,1385,6,1,Credit-Builder Loan,3,-1,5.42,2.0,_,605.03,33.22495079,26 Years and 9 Months,No,18.81621457,58.5159757,High_spent_Large_value_payments,466.4664764,1,1
10.42.0.211-10.42.0.1-4729-53-17,Rick Rothackerj,28,Teacher,34847.84,,2,4,6,1,Credit-Builder Loan,3,3_,5.42,2.0,Good,605.03,39.18265566,26 Years and 10 Months,No,18.81621457,99.30622796,Low_spent_Medium_value_payments,465.6762241,1,1
198.11.190.8-10.42.0.211-443-58984-6,Rick Rothackerj,28,Teacher,34847.84,3037.986667,2,4,6,1,Credit-Builder Loan,3,1,6.42,2.0,Good,605.03,34.97789475,26 Years and 11 Months,No,18.81621457,130.1154202,Low_spent_Small_value_payments,444.86703190000003,0,0
10.42.0.151-111.206.25.159-43643-80-6,Rick Rothackerj,28,Teacher,34847.84,3037.986667,2,4,6,1,Credit-Builder Loan,3,0,5.42,2.0,Good,605.03,33.3810102,27 Years and 0 Months,No,18.81621457,43.47719014,High_spent_Large_value_payments,481.5052619,1,1
10.42.0.211-31.13.69.245-51559-443-6,Rick Rothackerj,28,Teacher,34847.84,,2,4,6,1,Credit-Builder Loan,3,4,5.42,2.0,Good,605.03,31.13170161,27 Years and 1 Months,NM,18.81621457,70.10177421,High_spent_Medium_value_payments,464.8806779,1,1
172.217.11.3-10.42.0.42-80-52744-6,Rick Rothackerj,28,Teacher,34847.84,3037.986667,2,4,6,1,Credit-Builder Loan,3,4,5.42,2.0,Good,605.03,32.93385629,27 Years and 2 Months,No,18.81621457,218.9043435,Low_spent_Small_value_payments,356.0781086,0,0
202.77.129.150-10.42.0.211-80-47907-6,Langep,34,_______,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",5,8,7.1,3.0,Good,1303.01,28.61673482,17 Years and 9 Months,No,246.99231949999998,168.4137027,!@9#%8,1043.3159779999999,1,1
